Price,SP500,NASDAQ,VIX,GOLD,OIL
Ticker,^GSPC,^NDX,^VIX,GC=F,CL=F
Datetime,,,,,
2025-05-15 15:00:00+00:00,,,,3222.800048828125,61.630001068115234
2025-05-15 16:00:00+00:00,,,,3225.89990234375,61.630001068115234
2025-05-15 17:00:00+00:00,,,,3224.5,61.720001220703125
2025-05-15 18:00:00+00:00,,,,3226.39990234375,61.709999084472656
2025-05-15 19:00:00+00:00,,,,3234.60009765625,61.79999923706055
2025-05-15 20:00:00+00:00,,,,3243.89990234375,61.689998626708984
2025-05-15 21:00:00+00:00,,,,3243.89990234375,61.689998626708984
2025-05-15 22:00:00+00:00,,,,3254.699951171875,61.709999084472656
2025-05-15 23:00:00+00:00,,,,3241.199951171875,61.81999969482422
2025-05-16 00:00:00+00:00,,,,3246.39990234375,61.56999969482422
2025-05-16 01:00:00+00:00,,,,3226.0,61.689998626708984
2025-05-16 02:00:00+00:00,,,,3219.10009765625,61.68000030517578
2025-05-16 03:00:00+00:00,,,,3215.5,61.70000076293945
2025-05-16 04:00:00+00:00,,,,3223.0,61.939998626708984
2025-05-16 05:00:00+00:00,,,,3221.800048828125,61.630001068115234
2025-05-16 06:00:00+00:00,,,,3217.60009765625,61.400001525878906
2025-05-16 07:00:00+00:00,,,,3210.5,61.689998626708984
2025-05-16 08:00:00+00:00,,,,3210.300048828125,61.38999938964844
2025-05-16 09:00:00+00:00,,,,3211.89990234375,61.56999969482422
2025-05-16 10:00:00+00:00,,,,3179.0,61.959999084472656
2025-05-16 11:00:00+00:00,,,,3165.5,61.790000915527344
2025-05-16 12:00:00+00:00,,,,3180.0,62.0
2025-05-16 13:00:00+00:00,,,,3183.0,61.93000030517578
2025-05-16 14:00:00+00:00,,,,3175.39990234375,62.099998474121094
2025-05-16 15:00:00+00:00,,,,3186.699951171875,62.560001373291016
2025-05-16 16:00:00+00:00,,,,3192.5,62.5099983215332
2025-05-16 17:00:00+00:00,,,,3192.10009765625,62.599998474121094
2025-05-16 18:00:00+00:00,,,,3189.89990234375,62.560001373291016
2025-05-16 19:00:00+00:00,,,,3194.300048828125,62.349998474121094
2025-05-16 20:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-16 21:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-16 22:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-16 23:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 00:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 01:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 02:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 03:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 04:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 05:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 06:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 07:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 08:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 09:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 10:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 11:00:00+00:00,,,,3205.300048828125,62.4900016784668
2025-05-17 12:00:00+00:00,,,,3205.300048828125,62.4900016784668
